component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
Bedroom_3_Wardrobe_Front_03,0.022,0.544,2.222,4.066,1.85,1.215
Bedroom_3_Wardrobe_Front_03_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Bedroom_3_Wardrobe_Recessed_Plinth,0.47,1.59,0.1,3.78,1.3,0.05
Common_Bath_Basin,0.37,0.46,0.095,8.26,4.93,0.895
Common_Bath_Basin_Detail_Drain,0.0444,0.046,0.0014,0.0,-0.0,0.0
Common_Bath_Mirror,0.025,0.61,0.86,8.48,4.93,1.52
Common_Bath_Mirror_Detail_Thin_Frame,0.003,0.5943,0.8368,0.0,-0.0,0.0
Common_Bath_Mixer_Spout,0.16,0.027,0.027,8.38,4.93,1.16
Common_Bath_Mixer_Stem,0.026,0.026,0.26,8.45,4.93,1.04
Common_Bath_Mixer_Stem_Detail_Lever,0.065,0.013,0.0104,0.0,-0.0,0.0
Common_Bath_Shower_Glass,0.012,0.48,2.02,7.71,6.06,1.01
Common_Bath_Shower_Head,0.23,0.23,0.025,8.13,6.13,2.09
Common_Bath_Shower_Head_Detail_Spray_Nozzle_00,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_01,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_02,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_03,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_04,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_05,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_06,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_07,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_08,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_09,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_10,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_11,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_12,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_13,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_14,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Head_Detail_Spray_Nozzle_15,0.0058,0.0058,0.005,0.0,-0.0,0.0
Common_Bath_Shower_Stem,0.025,0.025,1.22,8.13,6.29,1.46
Common_Bath_Shower_Stem_Detail_Connected_Arm,0.024,0.172,0.032,0.0,-0.0,0.0
Common_Bath_Vanity_Carcass,0.42,0.64,0.5,8.28,4.93,0.57
Common_Bath_Vanity_Front_01,0.022,0.634,0.492,8.059,4.93,0.57
Common_Bath_Vanity_Front_01_Detail_Satin_Pull,0.016,0.014,0.246,0.0,-0.0,0.0
Common_Bath_Vanity_Top,0.45,0.66,0.06,8.28,4.93,0.86
Common_Bath_WC_Cistern,0.39,0.19,0.74,6.94,6.19,0.56
Common_Bath_WC_Cistern_Detail_Dual_Flush,0.0702,0.057,0.0059,0.0,-0.0,0.0
Common_Bath_WC_Cistern_Detail_Lid_Joint,0.3887,0.1907,0.003,0.0,-0.0,0.0
Common_Bath_WC_Cistern_Detail_Raised_Lid,0.3588,0.0247,0.4588,0.0,-0.0,0.0
Common_Bath_WC_Cistern_Detail_Seat_Hinge,0.2028,0.0228,0.0185,0.0,-0.0,0.0
Common_Bath_WC_Pan,0.39,0.62,0.3696,6.94,5.93,0.31
Common_Bath_WC_Seat,0.38,0.52,0.0525,6.94,5.9,0.45
Dining_Chair_East_0_Back,0.0558,0.46,0.45,5.57,4.73,0.71
Dining_Chair_East_0_Back_Detail_Bent_Oak_Back,0.0102,0.4508,0.432,0.0,-0.0,0.0
Dining_Chair_East_0_Leg,0.04,0.04,0.42,5.2,4.55,0.21
Dining_Chair_East_0_Leg.001,0.04,0.04,0.42,5.2,4.91,0.21
Dining_Chair_East_0_Leg.002,0.04,0.04,0.42,5.54,4.55,0.21
Dining_Chair_East_0_Leg.003,0.04,0.04,0.42,5.54,4.91,0.21
Dining_Chair_East_0_Seat,0.47,0.48,0.1,5.37,4.73,0.46
Dining_Chair_East_0_Seat_Detail_Oak_Seat_Rail,0.423,0.4512,0.025,0.0,-0.0,0.0
Dining_Chair_East_0_Seat_Detail_Seat_Welt,0.4491,0.4586,0.003,0.0,-0.0,0.0
Dining_Chair_East_1_Back,0.0558,0.46,0.45,5.57,5.37,0.71
Dining_Chair_East_1_Back_Detail_Bent_Oak_Back,0.0102,0.4508,0.432,0.0,-0.0,0.0
Dining_Chair_East_1_Leg,0.04,0.04,0.42,5.2,5.19,0.21
Dining_Chair_East_1_Leg.001,0.04,0.04,0.42,5.2,5.55,0.21
Dining_Chair_East_1_Leg.002,0.04,0.04,0.42,5.54,5.19,0.21
Dining_Chair_East_1_Leg.003,0.04,0.04,0.42,5.54,5.55,0.21
Dining_Chair_East_1_Seat,0.47,0.48,0.1,5.37,5.37,0.46
Dining_Chair_East_1_Seat_Detail_Oak_Seat_Rail,0.423,0.4512,0.025,0.0,-0.0,0.0
Dining_Chair_East_1_Seat_Detail_Seat_Welt,0.4491,0.4586,0.003,0.0,-0.0,0.0
Dining_Chair_West_0_Back,0.0558,0.46,0.45,3.73,4.73,0.71
Dining_Chair_West_0_Back_Detail_Bent_Oak_Back,0.0102,0.4508,0.432,0.0,-0.0,0.0
Dining_Chair_West_0_Leg,0.04,0.04,0.42,3.76,4.55,0.21
Dining_Chair_West_0_Leg.001,0.04,0.04,0.42,3.76,4.91,0.21
Dining_Chair_West_0_Leg.002,0.04,0.04,0.42,4.1,4.55,0.21
Dining_Chair_West_0_Leg.003,0.04,0.04,0.42,4.1,4.91,0.21
Dining_Chair_West_0_Seat,0.47,0.48,0.1,3.93,4.73,0.46
Dining_Chair_West_0_Seat_Detail_Oak_Seat_Rail,0.423,0.4512,0.025,0.0,-0.0,0.0
Dining_Chair_West_0_Seat_Detail_Seat_Welt,0.4491,0.4586,0.003,0.0,-0.0,0.0
Dining_Chair_West_1_Back,0.0558,0.46,0.45,3.73,5.37,0.71
Dining_Chair_West_1_Back_Detail_Bent_Oak_Back,0.0102,0.4508,0.432,0.0,-0.0,0.0
Dining_Chair_West_1_Leg,0.04,0.04,0.42,3.76,5.19,0.21
Dining_Chair_West_1_Leg.001,0.04,0.04,0.42,3.76,5.55,0.21
Dining_Chair_West_1_Leg.002,0.04,0.04,0.42,4.1,5.19,0.21
Dining_Chair_West_1_Leg.003,0.04,0.04,0.42,4.1,5.55,0.21
Dining_Chair_West_1_Seat,0.47,0.48,0.1,3.93,5.37,0.46
Dining_Chair_West_1_Seat_Detail_Oak_Seat_Rail,0.423,0.4512,0.025,0.0,-0.0,0.0
Dining_Chair_West_1_Seat_Detail_Seat_Welt,0.4491,0.4586,0.003,0.0,-0.0,0.0
Dining_Oval_Table,0.85,1.3,0.055,4.65,5.05,0.755
Dining_Oval_Table_Detail_Underside_Apron,0.708,1.1084,0.0688,0.0,-0.0,0.0
Dining_Table_Pedestal,0.42,0.13,0.72,4.65,4.68,0.37
Dining_Table_Pedestal.001,0.42,0.13,0.72,4.65,5.42,0.37
Ensuite_Basin,0.37,0.46,0.095,10.71,4.93,0.895
Ensuite_Basin_Detail_Drain,0.0444,0.046,0.0014,0.0,-0.0,0.0
Ensuite_Mirror,0.025,0.61,0.86,10.93,4.93,1.52
Ensuite_Mirror_Detail_Thin_Frame,0.003,0.5943,0.8368,0.0,-0.0,0.0
Ensuite_Mixer_Spout,0.16,0.027,0.027,10.83,4.93,1.16
Ensuite_Mixer_Stem,0.026,0.026,0.26,10.9,4.93,1.04
Ensuite_Mixer_Stem_Detail_Lever,0.065,0.013,0.0104,0.0,-0.0,0.0
