component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
Main_Bedroom_Wardrobe_Front_03_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Main_Bedroom_Wardrobe_Recessed_Plinth,0.52,1.49,0.1,12.23,3.4,0.05
Service_Yard_Upper_Storage_Carcass,0.94,0.38,0.57,6.49,8.59,2.015
Service_Yard_Upper_Storage_Front_01,0.464,0.022,0.562,6.255,8.389,2.015
Service_Yard_Upper_Storage_Front_01_Detail_Satin_Pull,0.014,0.016,0.281,0.0,-0.0,0.0
Service_Yard_Upper_Storage_Front_02,0.464,0.022,0.562,6.725,8.389,2.015
Service_Yard_Upper_Storage_Front_02_Detail_Satin_Pull,0.014,0.016,0.281,0.0,-0.0,0.0
Service_Yard_Washer,0.6,0.62,0.88,6.49,8.49,0.44
Service_Yard_Washer_Detail_Control_Panel,0.528,0.0074,0.1144,0.0,-0.0,0.0
Service_Yard_Washer_Detail_Detergent_Drawer,0.192,0.0124,0.0792,0.0,-0.0,0.0
Service_Yard_Washer_Detail_Display,0.132,0.0087,0.0484,0.0,-0.0,0.0
Service_Yard_Washer_Detail_Program_Dial,0.051,0.022,0.0527,0.0,-0.0,0.0
Service_Yard_Washer_Door,0.41,0.41,0.025,6.49,8.165,0.47
Service_Yard_Washer_Door_Detail_Machined_Rim,0.4018,0.4018,0.03,0.0,-0.0,0.0
Service_Yard_Washer_Door_Detail_Rubber_Seal,0.3536,0.3536,0.035,0.0,-0.0,0.0
Shelter_Freestanding_Shelf,0.66,0.45,0.035,0.48,6.7,0.4
Shelter_Freestanding_Shelf.001,0.66,0.45,0.035,0.48,6.7,0.95
Shelter_Freestanding_Shelf.001_Detail_Front_Lip,0.66,0.0113,0.049,0.0,-0.0,0.0
Shelter_Freestanding_Shelf.002,0.66,0.45,0.035,0.48,6.7,1.5
Shelter_Freestanding_Shelf.002_Detail_Front_Lip,0.66,0.0113,0.049,0.0,-0.0,0.0
Shelter_Freestanding_Shelf.003,0.66,0.45,0.035,0.48,6.7,2.05
Shelter_Freestanding_Shelf.003_Detail_Front_Lip,0.66,0.0113,0.049,0.0,-0.0,0.0
Shelter_Freestanding_Shelf_Detail_Front_Lip,0.66,0.0113,0.049,0.0,-0.0,0.0
Shelter_Shelf_Upright,0.04,0.43,2.16,0.19,6.7,1.08
Shelter_Shelf_Upright.001,0.04,0.43,2.16,0.77,6.7,1.08
Shelter_Shelf_Upright.001_Detail_Shelf_Fixing_0,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright.001_Detail_Shelf_Fixing_1,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright.001_Detail_Shelf_Fixing_2,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright.001_Detail_Shelf_Fixing_3,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright_Detail_Shelf_Fixing_0,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright_Detail_Shelf_Fixing_1,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright_Detail_Shelf_Fixing_2,0.028,0.0107,0.013,0.0,-0.0,0.0
Shelter_Shelf_Upright_Detail_Shelf_Fixing_3,0.028,0.0107,0.013,0.0,-0.0,0.0
